Time,Name,Nationality,Date,Event/Place,Source,Notes
2:08:18,Robert De Castella,Australia,"December 6, 1981",Fukuoka Marathon,"IAAF,[53] ARRS[9]",
2:08:05,Steve Jones,United Kingdom,"October 21, 1984",Chicago Marathon,"IAAF,[53] ARRS[9]",
2:07:12,Carlos Lopes,Portugal,"April 20, 1985",Rotterdam Marathon,"IAAF,[53] ARRS[9]",
2:06:50,Belayneh Dinsamo,Ethiopia,"April 17, 1988",Rotterdam Marathon,"IAAF,[53] ARRS[9]",
2:06:05,Ronaldo da Costa,Brazil,"September 20, 1998",Berlin Marathon,"IAAF,[53] ARRS[9]",
2:05:42,Khalid Khannouchi,Morocco,"October 24, 1999",Chicago Marathon,"IAAF,[53] ARRS[9]",
2:05:38,Khalid Khannouchi,United States,"April 14, 2002",London Marathon,"IAAF,[53] ARRS[9]","First ""World's Best"" recognized by the International Association of Athletics Federations.[78] The ARRS notes Khannouchi's extended time as 2:05:37.8[9]"
2:04:55,Paul Tergat,Kenya,"September 28, 2003",Berlin Marathon,"IAAF,[53] ARRS[9]",First world record for the men's marathon ratified by the International Association of Athletics Federations.[79]
2:04:26,Haile Gebrselassie,Ethiopia,"September 30, 2007",Berlin Marathon,"IAAF,[53] ARRS[9]",
2:03:59,Haile Gebrselassie,Ethiopia,"September 28, 2008",Berlin Marathon,"IAAF,[53] ARRS[9]",The ARRS notes Gebrselassie's extended time as 2:03:58.2[9]
2:03:38,Patrick Makau,Kenya,"September 25, 2011",Berlin Marathon,"IAAF,[80][81] ARRS[82]",
2:03:23,Wilson Kipsang,Kenya,"September 29, 2013",Berlin Marathon,IAAF[83][84] ARRS[82],The ARRS notes Kipsang's extended time as 2:03:22.2[82]
2:02:57,Dennis Kimetto,Kenya,"September 28, 2014",Berlin Marathon,IAAF[85][86] ARRS[82],The ARRS notes Kimetto's extended time as 2:02:56.4[82]
2:01:39,Eliud Kipchoge,Kenya,"September 16, 2018",Berlin Marathon,IAAF[1],
