"Notes"	"County"	"id"	"Month"	"Month Code"	daily_max_air_temp_f
	"Bibb County, AL"	"01007"	"May"	"5"	80.21
	"Bibb County, AL"	"01007"	"Jun"	"6"	86.23
	"Bibb County, AL"	"01007"	"Jul"	"7"	89.03
	"Bibb County, AL"	"01007"	"Aug"	"8"	89.38
	"Bibb County, AL"	"01007"	"Sep"	"9"	84.34
	"Bibb County, AL"	"01007"	"Oct"	"10"	74.97
	"Bibb County, AL"	"01007"	"Nov"	"11"	64.77
	"Bibb County, AL"	"01007"	"Dec"	"12"	55.95
"Total"	"Bibb County, AL"	"01007"			72.89
	"Blount County, AL"	"01009"	"Jan"	"1"	49.84
	"Blount County, AL"	"01009"	"Feb"	"2"	54.34
	"Blount County, AL"	"01009"	"Mar"	"3"	62.12
	"Blount County, AL"	"01009"	"Apr"	"4"	70.04
	"Blount County, AL"	"01009"	"May"	"5"	77.85
	"Blount County, AL"	"01009"	"Jun"	"6"	84.50
	"Blount County, AL"	"01009"	"Jul"	"7"	87.38
	"Blount County, AL"	"01009"	"Aug"	"8"	87.99
	"Blount County, AL"	"01009"	"Sep"	"9"	82.34
	"Blount County, AL"	"01009"	"Oct"	"10"	72.39
	"Blount County, AL"	"01009"	"Nov"	"11"	61.94
	"Blount County, AL"	"01009"	"Dec"	"12"	52.59
"Total"	"Blount County, AL"	"01009"			70.35
	"Bullock County, AL"	"01011"	"Jan"	"1"	55.24
	"Bullock County, AL"	"01011"	"Feb"	"2"	59.64
	"Bullock County, AL"	"01011"	"Mar"	"3"	66.86
	"Bullock County, AL"	"01011"	"Apr"	"4"	74.08
	"Bullock County, AL"	"01011"	"May"	"5"	81.59
	"Bullock County, AL"	"01011"	"Jun"	"6"	87.46
	"Bullock County, AL"	"01011"	"Jul"	"7"	89.58
	"Bullock County, AL"	"01011"	"Aug"	"8"	89.45
	"Bullock County, AL"	"01011"	"Sep"	"9"	85.11
	"Bullock County, AL"	"01011"	"Oct"	"10"	76.38
	"Bullock County, AL"	"01011"	"Nov"	"11"	66.71
	"Bullock County, AL"	"01011"	"Dec"	"12"	57.95
"Total"	"Bullock County, AL"	"01011"			74.23
	"Butler County, AL"	"01013"	"Jan"	"1"	56.37
	"Butler County, AL"	"01013"	"Feb"	"2"	60.44
	"Butler County, AL"	"01013"	"Mar"	"3"	67.23
	"Butler County, AL"	"01013"	"Apr"	"4"	74.24
	"Butler County, AL"	"01013"	"May"	"5"	81.59
	"Butler County, AL"	"01013"	"Jun"	"6"	87.00
	"Butler County, AL"	"01013"	"Jul"	"7"	89.05
	"Butler County, AL"	"01013"	"Aug"	"8"	88.94
	"Butler County, AL"	"01013"	"Sep"	"9"	84.78
	"Butler County, AL"	"01013"	"Oct"	"10"	76.24
	"Butler County, AL"	"01013"	"Nov"	"11"	66.96
	"Butler County, AL"	"01013"	"Dec"	"12"	58.77
"Total"	"Butler County, AL"	"01013"			74.36
	"Calhoun County, AL"	"01015"	"Jan"	"1"	50.31
	"Calhoun County, AL"	"01015"	"Feb"	"2"	54.82
	"Calhoun County, AL"	"01015"	"Mar"	"3"	62.67
	"Calhoun County, AL"	"01015"	"Apr"	"4"	70.51
	"Calhoun County, AL"	"01015"	"May"	"5"	78.30
	"Calhoun County, AL"	"01015"	"Jun"	"6"	84.93
	"Calhoun County, AL"	"01015"	"Jul"	"7"	87.77
	"Calhoun County, AL"	"01015"	"Aug"	"8"	88.18
	"Calhoun County, AL"	"01015"	"Sep"	"9"	82.70
	"Calhoun County, AL"	"01015"	"Oct"	"10"	72.80
	"Calhoun County, AL"	"01015"	"Nov"	"11"	62.49
	"Calhoun County, AL"	"01015"	"Dec"	"12"	53.15
"Total"	"Calhoun County, AL"	"01015"			70.79
	"Chambers County, AL"	"01017"	"Jan"	"1"	52.41
	"Chambers County, AL"	"01017"	"Feb"	"2"	56.75
	"Chambers County, AL"	"01017"	"Mar"	"3"	64.22
	"Chambers County, AL"	"01017"	"Apr"	"4"	71.75
	"Chambers County, AL"	"01017"	"May"	"5"	79.33
	"Chambers County, AL"	"01017"	"Jun"	"6"	85.66
	"Chambers County, AL"	"01017"	"Jul"	"7"	88.33
	"Chambers County, AL"	"01017"	"Aug"	"8"	88.40
	"Chambers County, AL"	"01017"	"Sep"	"9"	83.30
	"Chambers County, AL"	"01017"	"Oct"	"10"	73.95
	"Chambers County, AL"	"01017"	"Nov"	"11"	64.16
	"Chambers County, AL"	"01017"	"Dec"	"12"	55.17
"Total"	"Chambers County, AL"	"01017"			72.02
	"Cherokee County, AL"	"01019"	"Jan"	"1"	49.29
	"Cherokee County, AL"	"01019"	"Feb"	"2"	53.67
	"Cherokee County, AL"	"01019"	"Mar"	"3"	61.52
	"Cherokee County, AL"	"01019"	"Apr"	"4"	69.53
	"Cherokee County, AL"	"01019"	"May"	"5"	77.55
	"Cherokee County, AL"	"01019"	"Jun"	"6"	84.36
	"Cherokee County, AL"	"01019"	"Jul"	"7"	87.28
	"Cherokee County, AL"	"01019"	"Aug"	"8"	87.52
	"Cherokee County, AL"	"01019"	"Sep"	"9"	81.84
	"Cherokee County, AL"	"01019"	"Oct"	"10"	71.85
	"Cherokee County, AL"	"01019"	"Nov"	"11"	61.51
	"Cherokee County, AL"	"01019"	"Dec"	"12"	52.04
"Total"	"Cherokee County, AL"	"01019"			69.90
	"Chilton County, AL"	"01021"	"Jan"	"1"	53.09
	"Chilton County, AL"	"01021"	"Feb"	"2"	57.48
	"Chilton County, AL"	"01021"	"Mar"	"3"	64.85
	"Chilton County, AL"	"01021"	"Apr"	"4"	72.45
	"Chilton County, AL"	"01021"	"May"	"5"	80.02
	"Chilton County, AL"	"01021"	"Jun"	"6"	86.01
	"Chilton County, AL"	"01021"	"Jul"	"7"	88.61
	"Chilton County, AL"	"01021"	"Aug"	"8"	88.89
	"Chilton County, AL"	"01021"	"Sep"	"9"	83.97
	"Chilton County, AL"	"01021"	"Oct"	"10"	74.69
	"Chilton County, AL"	"01021"	"Nov"	"11"	64.57
	"Chilton County, AL"	"01021"	"Dec"	"12"	55.66
"Total"	"Chilton County, AL"	"01021"			72.59
	"Choctaw County, AL"	"01023"	"Jan"	"1"	56.22
	"Choctaw County, AL"	"01023"	"Feb"	"2"	60.36
	"Choctaw County, AL"	"01023"	"Mar"	"3"	67.77
	"Choctaw County, AL"	"01023"	"Apr"	"4"	74.72
	"Choctaw County, AL"	"01023"	"May"	"5"	81.96
	"Choctaw County, AL"	"01023"	"Jun"	"6"	87.61
	"Choctaw County, AL"	"01023"	"Jul"	"7"	90.01
	"Choctaw County, AL"	"01023"	"Aug"	"8"	90.18
	"Choctaw County, AL"	"01023"	"Sep"	"9"	85.63
	"Choctaw County, AL"	"01023"	"Oct"	"10"	76.85
	"Choctaw County, AL"	"01023"	"Nov"	"11"	67.32
	"Choctaw County, AL"	"01023"	"Dec"	"12"	58.87
"Total"	"Choctaw County, AL"	"01023"			74.86
	"Clarke County, AL"	"01025"	"Jan"	"1"	57.24
	"Clarke County, AL"	"01025"	"Feb"	"2"	61.23
	"Clarke County, AL"	"01025"	"Mar"	"3"	68.47
	"Clarke County, AL"	"01025"	"Apr"	"4"	75.29
	"Clarke County, AL"	"01025"	"May"	"5"	82.35
	"Clarke County, AL"	"01025"	"Jun"	"6"	87.75
	"Clarke County, AL"	"01025"	"Jul"	"7"	89.96
	"Clarke County, AL"	"01025"	"Aug"	"8"	90.06
	"Clarke County, AL"	"01025"	"Sep"	"9"	85.78
	"Clarke County, AL"	"01025"	"Oct"	"10"	77.48
	"Clarke County, AL"	"01025"	"Nov"	"11"	68.15
	"Clarke County, AL"	"01025"	"Dec"	"12"	59.83
"Total"	"Clarke County, AL"	"01025"			75.36
	"Clay County, AL"	"01027"	"Jan"	"1"	50.39
	"Clay County, AL"	"01027"	"Feb"	"2"	54.81
	"Clay County, AL"	"01027"	"Mar"	"3"	62.41
	"Clay County, AL"	"01027"	"Apr"	"4"	70.04
	"Clay County, AL"	"01027"	"May"	"5"	77.67
	"Clay County, AL"	"01027"	"Jun"	"6"	84.07
	"Clay County, AL"	"01027"	"Jul"	"7"	86.82
	"Clay County, AL"	"01027"	"Aug"	"8"	87.13
	"Clay County, AL"	"01027"	"Sep"	"9"	81.89
	"Clay County, AL"	"01027"	"Oct"	"10"	72.29
	"Clay County, AL"	"01027"	"Nov"	"11"	62.27
	"Clay County, AL"	"01027"	"Dec"	"12"	53.20
"Total"	"Clay County, AL"	"01027"			70.32
	"Cleburne County, AL"	"01029"	"Jan"	"1"	49.47
	"Cleburne County, AL"	"01029"	"Feb"	"2"	53.88
	"Cleburne County, AL"	"01029"	"Mar"	"3"	61.66
	"Cleburne County, AL"	"01029"	"Apr"	"4"	69.49
	"Cleburne County, AL"	"01029"	"May"	"5"	77.26
	"Cleburne County, AL"	"01029"	"Jun"	"6"	83.92
	"Cleburne County, AL"	"01029"	"Jul"	"7"	86.80
	"Cleburne County, AL"	"01029"	"Aug"	"8"	87.12
	"Cleburne County, AL"	"01029"	"Sep"	"9"	81.62
	"Cleburne County, AL"	"01029"	"Oct"	"10"	71.73
	"Cleburne County, AL"	"01029"	"Nov"	"11"	61.56
	"Cleburne County, AL"	"01029"	"Dec"	"12"	52.26
"Total"	"Cleburne County, AL"	"01029"			69.80
	"Coffee County, AL"	"01031"	"Jan"	"1"	57.19
	"Coffee County, AL"	"01031"	"Feb"	"2"	61.42
	"Coffee County, AL"	"01031"	"Mar"	"3"	68.27
	"Coffee County, AL"	"01031"	"Apr"	"4"	75.15
	"Coffee County, AL"	"01031"	"May"	"5"	82.48
	"Coffee County, AL"	"01031"	"Jun"	"6"	87.73
	"Coffee County, AL"	"01031"	"Jul"	"7"	89.38
	"Coffee County, AL"	"01031"	"Aug"	"8"	89.26
	"Coffee County, AL"	"01031"	"Sep"	"9"	85.27
	"Coffee County, AL"	"01031"	"Oct"	"10"	77.01
	"Coffee County, AL"	"01031"	"Nov"	"11"	67.87
	"Coffee County, AL"	"01031"	"Dec"	"12"	59.70
"Total"	"Coffee County, AL"	"01031"			75.12
	"Colbert County, AL"	"01033"	"Jan"	"1"	48.47
	"Colbert County, AL"	"01033"	"Feb"	"2"	53.08
	"Colbert County, AL"	"01033"	"Mar"	"3"	61.34
	"Colbert County, AL"	"01033"	"Apr"	"4"	69.72
	"Colbert County, AL"	"01033"	"May"	"5"	77.59
	"Colbert County, AL"	"01033"	"Jun"	"6"	84.72
	"Colbert County, AL"	"01033"	"Jul"	"7"	87.87
	"Colbert County, AL"	"01033"	"Aug"	"8"	88.37
	"Colbert County, AL"	"01033"	"Sep"	"9"	82.38
	"Colbert County, AL"	"01033"	"Oct"	"10"	72.12
	"Colbert County, AL"	"01033"	"Nov"	"11"	61.27
	"Colbert County, AL"	"01033"	"Dec"	"12"	51.44
"Total"	"Colbert County, AL"	"01033"			69.94
	"Conecuh County, AL"	"01035"	"Jan"	"1"	57.45
	"Conecuh County, AL"	"01035"	"Feb"	"2"	61.37
	"Conecuh County, AL"	"01035"	"Mar"	"3"	68.13
	"Conecuh County, AL"	"01035"	"Apr"	"4"	74.82
	"Conecuh County, AL"	"01035"	"May"	"5"	81.98
	"Conecuh County, AL"	"01035"	"Jun"	"6"	87.22
	"Conecuh County, AL"	"01035"	"Jul"	"7"	89.05
	"Conecuh County, AL"	"01035"	"Aug"	"8"	88.99
	"Conecuh County, AL"	"01035"	"Sep"	"9"	84.97
	"Conecuh County, AL"	"01035"	"Oct"	"10"	76.82
	"Conecuh County, AL"	"01035"	"Nov"	"11"	67.94
	"Conecuh County, AL"	"01035"	"Dec"	"12"	59.95
"Total"	"Conecuh County, AL"	"01035"			74.95
	"Coosa County, AL"	"01037"	"Jan"	"1"	52.51
	"Coosa County, AL"	"01037"	"Feb"	"2"	56.88
	"Coosa County, AL"	"01037"	"Mar"	"3"	64.36
	"Coosa County, AL"	"01037"	"Apr"	"4"	71.93
	"Coosa County, AL"	"01037"	"May"	"5"	79.51
	"Coosa County, AL"	"01037"	"Jun"	"6"	85.64
	"Coosa County, AL"	"01037"	"Jul"	"7"	88.31
	"Coosa County, AL"	"01037"	"Aug"	"8"	88.58
	"Coosa County, AL"	"01037"	"Sep"	"9"	83.52
	"Coosa County, AL"	"01037"	"Oct"	"10"	74.24
	"Coosa County, AL"	"01037"	"Nov"	"11"	64.21
	"Coosa County, AL"	"01037"	"Dec"	"12"	55.24
"Total"	"Coosa County, AL"	"01037"			72.14
	"Covington County, AL"	"01039"	"Jan"	"1"	58.18
	"Covington County, AL"	"01039"	"Feb"	"2"	62.12
	"Covington County, AL"	"01039"	"Mar"	"3"	68.69
	"Covington County, AL"	"01039"	"Apr"	"4"	75.29
	"Covington County, AL"	"01039"	"May"	"5"	82.55
	"Covington County, AL"	"01039"	"Jun"	"6"	87.77
	"Covington County, AL"	"01039"	"Jul"	"7"	89.31
	"Covington County, AL"	"01039"	"Aug"	"8"	89.11
	"Covington County, AL"	"01039"	"Sep"	"9"	85.30
	"Covington County, AL"	"01039"	"Oct"	"10"	77.20
	"Covington County, AL"	"01039"	"Nov"	"11"	68.49
	"Covington County, AL"	"01039"	"Dec"	"12"	60.64
"Total"	"Covington County, AL"	"01039"			75.45
	"Crenshaw County, AL"	"01041"	"Jan"	"1"	56.01
	"Crenshaw County, AL"	"01041"	"Feb"	"2"	60.16
	"Crenshaw County, AL"	"01041"	"Mar"	"3"	67.11
	"Crenshaw County, AL"	"01041"	"Apr"	"4"	74.16
	"Crenshaw County, AL"	"01041"	"May"	"5"	81.63
	"Crenshaw County, AL"	"01041"	"Jun"	"6"	87.10
	"Crenshaw County, AL"	"01041"	"Jul"	"7"	89.02
	"Crenshaw County, AL"	"01041"	"Aug"	"8"	88.86
	"Crenshaw County, AL"	"01041"	"Sep"	"9"	84.72
	"Crenshaw County, AL"	"01041"	"Oct"	"10"	76.24
	"Crenshaw County, AL"	"01041"	"Nov"	"11"	66.85
	"Crenshaw County, AL"	"01041"	"Dec"	"12"	58.54
"Total"	"Crenshaw County, AL"	"01041"			74.26
	"Cullman County, AL"	"01043"	"Jan"	"1"	49.36
	"Cullman County, AL"	"01043"	"Feb"	"2"	53.95
	"Cullman County, AL"	"01043"	"Mar"	"3"	61.86
	"Cullman County, AL"	"01043"	"Apr"	"4"	69.95
	"Cullman County, AL"	"01043"	"May"	"5"	77.80
	"Cullman County, AL"	"01043"	"Jun"	"6"	84.55
	"Cullman County, AL"	"01043"	"Jul"	"7"	87.46
	"Cullman County, AL"	"01043"	"Aug"	"8"	88.09
	"Cullman County, AL"	"01043"	"Sep"	"9"	82.36
	"Cullman County, AL"	"01043"	"Oct"	"10"	72.28
	"Cullman County, AL"	"01043"	"Nov"	"11"	61.65
	"Cullman County, AL"	"01043"	"Dec"	"12"	52.18
"Total"	"Cullman County, AL"	"01043"			70.20
	"Dale County, AL"	"01045"	"Jan"	"1"	57.52
	"Dale County, AL"	"01045"	"Feb"	"2"	61.87
	"Dale County, AL"	"01045"	"Mar"	"3"	68.81
	"Dale County, AL"	"01045"	"Apr"	"4"	75.63
	"Dale County, AL"	"01045"	"May"	"5"	82.95
	"Dale County, AL"	"01045"	"Jun"	"6"	88.19
	"Dale County, AL"	"01045"	"Jul"	"7"	89.72
	"Dale County, AL"	"01045"	"Aug"	"8"	89.51
	"Dale County, AL"	"01045"	"Sep"	"9"	85.65
	"Dale County, AL"	"01045"	"Oct"	"10"	77.45
	"Dale County, AL"	"01045"	"Nov"	"11"	68.35
	"Dale County, AL"	"01045"	"Dec"	"12"	60.07
"Total"	"Dale County, AL"	"01045"			75.53
	"Dallas County, AL"	"01047"	"Jan"	"1"	55.48
	"Dallas County, AL"	"01047"	"Feb"	"2"	59.80
	"Dallas County, AL"	"01047"	"Mar"	"3"	67.02
	"Dallas County, AL"	"01047"	"Apr"	"4"	74.45
	"Dallas County, AL"	"01047"	"May"	"5"	81.99
	"Dallas County, AL"	"01047"	"Jun"	"6"	87.78
	"Dallas County, AL"	"01047"	"Jul"	"7"	90.21
	"Dallas County, AL"	"01047"	"Aug"	"8"	90.27
	"Dallas County, AL"	"01047"	"Sep"	"9"	85.77
	"Dallas County, AL"	"01047"	"Oct"	"10"	76.74
	"Dallas County, AL"	"01047"	"Nov"	"11"	66.70
	"Dallas County, AL"	"01047"	"Dec"	"12"	57.93
"Total"	"Dallas County, AL"	"01047"			74.57
	"DeKalb County, AL"	"01049"	"Jan"	"1"	47.13
	"DeKalb County, AL"	"01049"	"Feb"	"2"	51.46
	"DeKalb County, AL"	"01049"	"Mar"	"3"	59.21
	"DeKalb County, AL"	"01049"	"Apr"	"4"	67.25
	"DeKalb County, AL"	"01049"	"May"	"5"	75.34
	"DeKalb County, AL"	"01049"	"Jun"	"6"	82.15
	"DeKalb County, AL"	"01049"	"Jul"	"7"	85.05
	"DeKalb County, AL"	"01049"	"Aug"	"8"	85.43
	"DeKalb County, AL"	"01049"	"Sep"	"9"	79.70
	"DeKalb County, AL"	"01049"	"Oct"	"10"	69.69
	"DeKalb County, AL"	"01049"	"Nov"	"11"	59.31
	"DeKalb County, AL"	"01049"	"Dec"	"12"	49.86
"Total"	"DeKalb County, AL"	"01049"			67.71
	"Elmore County, AL"	"01051"	"Jan"	"1"	54.18
	"Elmore County, AL"	"01051"	"Feb"	"2"	58.53
	"Elmore County, AL"	"01051"	"Mar"	"3"	65.95
	"Elmore County, AL"	"01051"	"Apr"	"4"	73.44
	"Elmore County, AL"	"01051"	"May"	"5"	81.10
	"Elmore County, AL"	"01051"	"Jun"	"6"	87.10
	"Elmore County, AL"	"01051"	"Jul"	"7"	89.53
	"Elmore County, AL"	"01051"	"Aug"	"8"	89.76
	"Elmore County, AL"	"01051"	"Sep"	"9"	84.97
	"Elmore County, AL"	"01051"	"Oct"	"10"	75.76
	"Elmore County, AL"	"01051"	"Nov"	"11"	65.81
	"Elmore County, AL"	"01051"	"Dec"	"12"	56.92
"Total"	"Elmore County, AL"	"01051"			73.65
	"Escambia County, AL"	"01053"	"Jan"	"1"	58.59
	"Escambia County, AL"	"01053"	"Feb"	"2"	62.34
	"Escambia County, AL"	"01053"	"Mar"	"3"	68.97
	"Escambia County, AL"	"01053"	"Apr"	"4"	75.60
	"Escambia County, AL"	"01053"	"May"	"5"	82.47
	"Escambia County, AL"	"01053"	"Jun"	"6"	87.56
	"Escambia County, AL"	"01053"	"Jul"	"7"	89.14
	"Escambia County, AL"	"01053"	"Aug"	"8"	89.08
	"Escambia County, AL"	"01053"	"Sep"	"9"	85.25
	"Escambia County, AL"	"01053"	"Oct"	"10"	77.61
	"Escambia County, AL"	"01053"	"Nov"	"11"	68.85
	"Escambia County, AL"	"01053"	"Dec"	"12"	61.10
"Total"	"Escambia County, AL"	"01053"			75.60
	"Etowah County, AL"	"01055"	"Jan"	"1"	49.61
	"Etowah County, AL"	"01055"	"Feb"	"2"	54.08
	"Etowah County, AL"	"01055"	"Mar"	"3"	62.01
	"Etowah County, AL"	"01055"	"Apr"	"4"	69.97
	"Etowah County, AL"	"01055"	"May"	"5"	77.90
	"Etowah County, AL"	"01055"	"Jun"	"6"	84.59
	"Etowah County, AL"	"01055"	"Jul"	"7"	87.41
	"Etowah County, AL"	"01055"	"Aug"	"8"	87.92
	"Etowah County, AL"	"01055"	"Sep"	"9"	82.30
	"Etowah County, AL"	"01055"	"Oct"	"10"	72.35
	"Etowah County, AL"	"01055"	"Nov"	"11"	61.89
	"Etowah County, AL"	"01055"	"Dec"	"12"	52.45
"Total"	"Etowah County, AL"	"01055"			70.28
	"Fayette County, AL"	"01057"	"Jan"	"1"	51.29
	"Fayette County, AL"	"01057"	"Feb"	"2"	55.90
	"Fayette County, AL"	"01057"	"Mar"	"3"	63.96
	"Fayette County, AL"	"01057"	"Apr"	"4"	71.58
	"Fayette County, AL"	"01057"	"May"	"5"	79.05
	"Fayette County, AL"	"01057"	"Jun"	"6"	85.42
	"Fayette County, AL"	"01057"	"Jul"	"7"	88.61
	"Fayette County, AL"	"01057"	"Aug"	"8"	89.18
	"Fayette County, AL"	"01057"	"Sep"	"9"	83.65
	"Fayette County, AL"	"01057"	"Oct"	"10"	73.96
	"Fayette County, AL"	"01057"	"Nov"	"11"	63.55
	"Fayette County, AL"	"01057"	"Dec"	"12"	54.29
"Total"	"Fayette County, AL"	"01057"			71.78
	"Franklin County, AL"	"01059"	"Jan"	"1"	48.60
	"Franklin County, AL"	"01059"	"Feb"	"2"	53.18
	"Franklin County, AL"	"01059"	"Mar"	"3"	61.36
	"Franklin County, AL"	"01059"	"Apr"	"4"	69.52
	"Franklin County, AL"	"01059"	"May"	"5"	77.28
	"Franklin County, AL"	"01059"	"Jun"	"6"	84.23
	"Franklin County, AL"	"01059"	"Jul"	"7"	87.45
	"Franklin County, AL"	"01059"	"Aug"	"8"	87.97
	"Franklin County, AL"	"01059"	"Sep"	"9"	82.13
	"Franklin County, AL"	"01059"	"Oct"	"10"	71.89
	"Franklin County, AL"	"01059"	"Nov"	"11"	61.26
	"Franklin County, AL"	"01059"	"Dec"	"12"	51.55
"Total"	"Franklin County, AL"	"01059"			69.78
	"Geneva County, AL"	"01061"	"Jan"	"1"	58.96
	"Geneva County, AL"	"01061"	"Feb"	"2"	63.07
	"Geneva County, AL"	"01061"	"Mar"	"3"	69.67
	"Geneva County, AL"	"01061"	"Apr"	"4"	76.18
	"Geneva County, AL"	"01061"	"May"	"5"	83.54
	"Geneva County, AL"	"01061"	"Jun"	"6"	88.76
	"Geneva County, AL"	"01061"	"Jul"	"7"	90.03
	"Geneva County, AL"	"01061"	"Aug"	"8"	89.69
	"Geneva County, AL"	"01061"	"Sep"	"9"	86.11
	"Geneva County, AL"	"01061"	"Oct"	"10"	78.16
	"Geneva County, AL"	"01061"	"Nov"	"11"	69.41
	"Geneva County, AL"	"01061"	"Dec"	"12"	61.43
"Total"	"Geneva County, AL"	"01061"			76.31
	"Greene County, AL"	"01063"	"Jan"	"1"	54.06
	"Greene County, AL"	"01063"	"Feb"	"2"	58.56
	"Greene County, AL"	"01063"	"Mar"	"3"	66.23
	"Greene County, AL"	"01063"	"Apr"	"4"	73.78
	"Greene County, AL"	"01063"	"May"	"5"	81.40
	"Greene County, AL"	"01063"	"Jun"	"6"	87.46
	"Greene County, AL"	"01063"	"Jul"	"7"	90.19
	"Greene County, AL"	"01063"	"Aug"	"8"	90.51
	"Greene County, AL"	"01063"	"Sep"	"9"	85.52
	"Greene County, AL"	"01063"	"Oct"	"10"	76.07
	"Greene County, AL"	"01063"	"Nov"	"11"	65.65
	"Greene County, AL"	"01063"	"Dec"	"12"	56.80
"Total"	"Greene County, AL"	"01063"			73.92
	"Hale County, AL"	"01065"	"Jan"	"1"	54.15
	"Hale County, AL"	"01065"	"Feb"	"2"	58.61
	"Hale County, AL"	"01065"	"Mar"	"3"	66.20
	"Hale County, AL"	"01065"	"Apr"	"4"	73.75
	"Hale County, AL"	"01065"	"May"	"5"	81.40
	"Hale County, AL"	"01065"	"Jun"	"6"	87.46
	"Hale County, AL"	"01065"	"Jul"	"7"	90.10
	"Hale County, AL"	"01065"	"Aug"	"8"	90.33
	"Hale County, AL"	"01065"	"Sep"	"9"	85.45
	"Hale County, AL"	"01065"	"Oct"	"10"	76.07
	"Hale County, AL"	"01065"	"Nov"	"11"	65.72
	"Hale County, AL"	"01065"	"Dec"	"12"	56.80
"Total"	"Hale County, AL"	"01065"			73.90
	"Henry County, AL"	"01067"	"Jan"	"1"	57.07
	"Henry County, AL"	"01067"	"Feb"	"2"	61.39
	"Henry County, AL"	"01067"	"Mar"	"3"	68.48
	"Henry County, AL"	"01067"	"Apr"	"4"	75.40
	"Henry County, AL"	"01067"	"May"	"5"	82.92
	"Henry County, AL"	"01067"	"Jun"	"6"	88.23
	"Henry County, AL"	"01067"	"Jul"	"7"	89.82
	"Henry County, AL"	"01067"	"Aug"	"8"	89.55
	"Henry County, AL"	"01067"	"Sep"	"9"	85.72
	"Henry County, AL"	"01067"	"Oct"	"10"	77.44
	"Henry County, AL"	"01067"	"Nov"	"11"	68.27
	"Henry County, AL"	"01067"	"Dec"	"12"	59.75
"Total"	"Henry County, AL"	"01067"			75.40
	"Houston County, AL"	"01069"	"Jan"	"1"	59.04
	"Houston County, AL"	"01069"	"Feb"	"2"	63.26
	"Houston County, AL"	"01069"	"Mar"	"3"	69.90
	"Houston County, AL"	"01069"	"Apr"	"4"	76.54
	"Houston County, AL"	"01069"	"May"	"5"	83.92
	"Houston County, AL"	"01069"	"Jun"	"6"	88.92
	"Houston County, AL"	"01069"	"Jul"	"7"	90.18
	"Houston County, AL"	"01069"	"Aug"	"8"	89.80
	"Houston County, AL"	"01069"	"Sep"	"9"	86.39
	"Houston County, AL"	"01069"	"Oct"	"10"	78.53
	"Houston County, AL"	"01069"	"Nov"	"11"	69.77
	"Houston County, AL"	"01069"	"Dec"	"12"	61.61
"Total"	"Houston County, AL"	"01069"			76.55
	"Jackson County, AL"	"01071"	"Jan"	"1"	47.27
	"Jackson County, AL"	"01071"	"Feb"	"2"	51.70
	"Jackson County, AL"	"01071"	"Mar"	"3"	59.51
